№,сталь,Ry,сечение,h,b,S,t,R,A_см2,вес_кг,Ix_см4,Wx_см3,Sx_см3,ix_см,Iy_см4,Wy_см3,iy_см
304,С245,240,пр.180х140х6 90°,180,180,,,,36.8,28.9,1158.9,165.6,,6.81,1706.8,189.6,5.61
305,С245,240,пр.180х140х7 90°,180,180,,,,42.8,33.6,1322.9,189,,6.75,1952,216.9,5.56
306,С245,240,пр.180х140х8 90°,180,180,,,,48.7,38.2,1480.6,211.5,,6.7,2187.3,243,5.51
307,С245,240,пр.200х120х4 90°,200,200,,,,27.7,21.8,1160,145,,7.68,1631.8,163.2,6.47
308,С245,240,пр.200х160х5 90°,200,200,,,,34.6,27.2,1450,181.2,,7.67,2039.7,204,6.46
309,С245,240,пр.200х160х6 90°,200,200,,,,41.4,32.5,1712.3,214,,7.63,2412.4,241.2,6.43
310,С245,240,пр.200х160х7 90°,200,200,,,,48.2,37.8,1962,245.2,,7.58,2767.1,276.7,6.38
311,С245,240,пр.200х160х8 90°,200,200,,,,54.8,43,2199,274.9,,7.53,3104.3,310.4,6.33
312,С245,240,пр.200х160х9 90°,200,200,,,,61.3,48.1,2436,303.3,,7.48,3424,342.3,6.28
313,С245,240,пр.200х160х10 90°,200,200,,,,67.7,53.1,2211.7,330.4,,7.43,3726.7,372.4,6.23
314,С245,240,пр.300х200х8 90°,300,300,,,,75.8,59.5,5069,510,,11.2,9512,634,8.2
315,С245,240,пр.300х200х9 90°,300,300,,,,84.7,66.5,5630,563,,11.15,10527,702,8.15
316,С245,240,пр.300х200х10 90°,300,300,,,,93.4,73.3,6143,614,,11.1,11505,767,8.11
317,С245,240,пр.300х200х11 90°,300,300,,,,102,80.1,6634,663,,11.05,12446,830,8.06
318,С245,240,пр.300х200х12 90°,300,300,,,,111,86.8,7104,710,,11,13351,890,8.01
319,С245,240,пр.300х200х13 90°,300,300,,,,119,93.4,7553,755,,10.95,12482,945,7.96
320,С245,240,пр.300х200х14 90°,300,300,,,,127,99.8,7983,798,,10.9,15054,1004,7.92
321,С245,240,пр.320х180х8 90°,320,320,,,,75.8,59.5,4248,472,,11.7,10341,646,7.49
322,С245,240,пр.320х180х9 90°,320,320,,,,93.4,73.3,5111,568,,11.6,12506,782,7.4
323,С245,240,пр.320х180х10 90°,320,320,,,,111,86.8,5899,655,,11.5,14511,907,7.31
324,С245,240,пр.320х180х11 90°,320,320,,,,127,99.8,6617,735,,11.3,16359,1022,7.21
325,С245,240,пр.340х160х9 90°,340,340,,,,84.7,66.5,3793,474,,12.1,12306,724,6.69
326,С245,240,пр.340х160х10 90°,340,340,,,,93.4,73.3,4130,516,,12,13446,791,6.65
327,С245,240,пр.340х160х11 90°,340,340,,,,111,86.8,4755,594,,11.9,15596,917,6.56
328,С245,240,пр.340х160х12 90°,340,340,,,,127,99.8,5319,655,,11.8,17576,1034,6.47
329,С245,240,пр.340х260х10 90°,340,340,,,,113,89,12510,962,,12.9,18892,1111,10.5
330,С245,240,пр.340х260х11 90°,340,340,,,,135,106,14577,1121,,12.8,22054,1297,10.4
331,С245,240,пр.340х260х12 90°,340,340,,,,155,122,16508,1269,,12.7,25020,1472,10.3
332,С245,240,пр.380х220х10 90°,380,380,,,,113,89,9416,856,,13.9,21925,1154,9.11
333,С245,240,пр.380х220х11 90°,380,380,,,,135,106,10948,995,,13.8,25594,1347,9.02
334,С245,240,пр.380х220х12 90°,380,380,,,,155,122,12370,1125,,13.7,29037,1528,8.93
335,С245,240,пр.400х200х10 90°,400,400,,,,113,89,7949,795,,14.3,23345,1167,8.37
336,С245,240,пр.400х200х11 90°,400,400,,,,135,106,9227,923,,14.2,27248,1362,8.28
337,С245,240,пр.400х200х12 90°,400,400,,,,155,122,10409,1041,,14.1,30907,1545,8.19
